Shop Name,Link
Gadget Point,https://www.google.com/maps/place/Gadget+Point/data=!4m7!3m6!1s0x3755b8c780d68d4f:0xa6e384cd48b360e8!8m2!3d23.807539!4d90.368787!16s%2Fg%2F11fd561g_f!19sChIJT43WgMe4VTcR6GCzSM2E46Y?authuser=0&hl=en&rclk=1
One Touch Plus,https://www.google.com/maps/place/One+Touch+Plus/data=!4m7!3m6!1s0x3755c0d64fbdf591:0x970da4715de885f2!8m2!3d23.808293!4d90.3684327!16s%2Fg%2F11f39dbsgb!19sChIJkfW9T9bAVTcR8oXoXXGkDZc?authuser=0&hl=en&rclk=1
Remax Tech BD,https://www.google.com/maps/place/Remax+Tech+BD/data=!4m7!3m6!1s0x3755c16456608c61:0xd039665927921c34!8m2!3d23.8055908!4d90.3680629!16s%2Fg%2F11qykwqwg3!19sChIJYYxgVmTBVTcRNBySJ1lmOdA?authuser=0&hl=en&rclk=1
WinTop,https://www.google.com/maps/place/WinTop/data=!4m7!3m6!1s0x3755c15b5db78e1b:0x1e60e78b0b22e13!8m2!3d23.8062963!4d90.3696419!16s%2Fg%2F11swl_8bjj!19sChIJG463XVvBVTcREy6ysHgO5gE?authuser=0&hl=en&rclk=1
Islamic Computer,https://www.google.com/maps/place/Islamic+Computer/data=!4m7!3m6!1s0x3755c1310e4df7e5:0x8ab459a45075f7ec!8m2!3d23.8259202!4d90.3685254!16s%2Fg%2F11fy9mt26w!19sChIJ5fdNDjHBVTcR7Pd1UKRZtIo?authuser=0&hl=en&rclk=1
Ridge Computer BD,https://www.google.com/maps/place/Ridge+Computer+BD/data=!4m7!3m6!1s0x3755c169bbec65f7:0xc1a541d91d179adc!8m2!3d23.8009955!4d90.3550421!16s%2Fg%2F11j7kyk4_m!19sChIJ92Xsu2nBVTcR3JoXHdlBpcE?authuser=0&hl=en&rclk=1
Gamers Side,https://www.google.com/maps/place/Gamers+Side/data=!4m7!3m6!1s0x3755c7c5dbe592b1:0xdcd308aeb4a1ac90!8m2!3d23.8089865!4d90.3666914!16s%2Fg%2F11kk07kp49!19sChIJsZLl28XHVTcRkKyhtK4I09w?authuser=0&hl=en&rclk=1
KAASHIF TECHNOLOGY,https://www.google.com/maps/place/KAASHIF+TECHNOLOGY/data=!4m7!3m6!1s0x3755c1006f246b67:0x2ef4dc9b5559b87!8m2!3d23.8068295!4d90.3690975!16s%2Fg%2F11wpnqc_pg!19sChIJZ2skbwDBVTcRh5tVtclN7wI?authuser=0&hl=en&rclk=1
Apple Park,https://www.google.com/maps/place/Apple+Park/data=!4m7!3m6!1s0x3755c1752868b285:0x5bd7544fd5d43b8f!8m2!3d23.8076484!4d90.3687407!16s%2Fg%2F11vt9ptdm6!19sChIJhbJoKHXBVTcRjzvU1U9U11s?authuser=0&hl=en&rclk=1
FixIT,https://www.google.com/maps/place/FixIT/data=!4m7!3m6!1s0x3755c0d4645d6065:0x12a060818008e02d!8m2!3d23.8054548!4d90.3721132!16s%2Fg%2F11f2gsd_df!19sChIJZWBdZNTAVTcRLeAIgIFgoBI?authuser=0&hl=en&rclk=1
Hk Technology,https://www.google.com/maps/place/Hk+Technology/data=!4m7!3m6!1s0x3755c166083a8477:0x934f05ea6871a8b5!8m2!3d23.8067572!4d90.3692979!16s%2Fg%2F11k4swkzdr!19sChIJd4Q6CGbBVTcRtahxaOoFT5M?authuser=0&hl=en&rclk=1
Laptop Prime,https://www.google.com/maps/place/Laptop+Prime/data=!4m7!3m6!1s0x3755c139379ba6f7:0x7171a521507c30db!8m2!3d23.8065811!4d90.3697779!16s%2Fg%2F11vl9v43g9!19sChIJ96abNznBVTcR2zB8UCGlcXE?authuser=0&hl=en&rclk=1
ORIGIN TECH,https://www.google.com/maps/place/ORIGIN+TECH/data=!4m7!3m6!1s0x3755c1a76e40e181:0xc5885fe7ed856096!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11fm74g_5_!19sChIJgeFAbqfBVTcRlmCF7edfiMU?authuser=0&hl=en&rclk=1
Quality Tech,https://www.google.com/maps/place/Quality+Tech/data=!4m7!3m6!1s0x3755c100156251d3:0xbec6ff355ed458da!8m2!3d23.8064908!4d90.3692565!16s%2Fg%2F11w4kyq24v!19sChIJ01FiFQDBVTcR2ljUXjX_xr4?authuser=0&hl=en&rclk=1
Laptop Valley,https://www.google.com/maps/place/Laptop+Valley/data=!4m7!3m6!1s0x3755c1006d3c9d31:0x55134565674ebbdd!8m2!3d23.8064386!4d90.3695298!16s%2Fg%2F11y3kdqdw3!19sChIJMZ08bQDBVTcR3btOZ2VFE1U?authuser=0&hl=en&rclk=1
Prince computer and technology,https://www.google.com/maps/place/Prince+computer+and+technology/data=!4m7!3m6!1s0x3755c0d6921bac33:0x810b768c2f3b5214!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11gdgf2pp8!19sChIJM6wbktbAVTcRFFI7L4x2C4E?authuser=0&hl=en&rclk=1
Universe IT,https://www.google.com/maps/place/Universe+IT/data=!4m7!3m6!1s0x3755c7b16bc7bca9:0xfa9bcc1d3c11dd95!8m2!3d23.8197687!4d90.3778961!16s%2Fg%2F11pvwzn9fl!19sChIJqbzHa7HHVTcRld0RPB3Mm_o?authuser=0&hl=en&rclk=1
Server Spare Parts,https://www.google.com/maps/place/Server+Spare+Parts/data=!4m7!3m6!1s0x3755c167ddefa46f:0x6691e01b1e3027e4!8m2!3d23.7992373!4d90.3581362!16s%2Fg%2F11t9jvs4sy!19sChIJb6Tv3WfBVTcR5CcwHhvgkWY?authuser=0&hl=en&rclk=1
Easy & Efficient Solution,https://www.google.com/maps/place/Easy+%26+Efficient+Solution/data=!4m7!3m6!1s0x3755c1ef64b7c295:0x76d63d5283bc970f!8m2!3d23.7925541!4d90.3703842!16s%2Fg%2F11lgdnksd0!19sChIJlcK3ZO_BVTcRD5e8g1I91nY?authuser=0&hl=en&rclk=1
Sellve,https://www.google.com/maps/place/Sellve/data=!4m7!3m6!1s0x3755c1380ba737db:0x8a599297ee341df3!8m2!3d23.8001534!4d90.3733044!16s%2Fg%2F11smct98w3!19sChIJ2zenCzjBVTcR8x007peSWYo?authuser=0&hl=en&rclk=1
Laptop Point BD,https://www.google.com/maps/place/Laptop+Point+BD/data=!4m7!3m6!1s0x3755c10003baf87f:0xfad8f74e5d9003e3!8m2!3d23.8064024!4d90.3690277!16s%2Fg%2F11x1tntw9p!19sChIJf_i6AwDBVTcR4wOQXU732Po?authuser=0&hl=en&rclk=1
RARO Tech,https://www.google.com/maps/place/RARO+Tech/data=!4m7!3m6!1s0x3755c0e88dd14007:0x418f5a1a3d6c85e8!8m2!3d23.8065907!4d90.3690465!16s%2Fg%2F11h8kdhzwb!19sChIJB0DRjejAVTcR6IVsPRpaj0E?authuser=0&hl=en&rclk=1
Adil Computer Corner,https://www.google.com/maps/place/Adil+Computer+Corner/data=!4m7!3m6!1s0x3755c0d6921e32a3:0xcfd75fe45ac2b4d0!8m2!3d23.8066416!4d90.3692426!16s%2Fg%2F11gbzcpk9x!19sChIJozIektbAVTcR0LTCWuRf188?authuser=0&hl=en&rclk=1
Device Mama,https://www.google.com/maps/place/Device+Mama/data=!4m7!3m6!1s0x3755c1006c4786fd:0x85658b864747309f!8m2!3d23.8218717!4d90.3643322!16s%2Fg%2F11lylr8fny!19sChIJ_YZHbADBVTcRnzBHR4aLZYU?authuser=0&hl=en&rclk=1
Laptop Shop,https://www.google.com/maps/place/Laptop+Shop/data=!4m7!3m6!1s0x3755c100790d43bd:0x839d7334833478d6!8m2!3d23.8068404!4d90.368733!16s%2Fg%2F11ww9k2_5n!19sChIJvUMNeQDBVTcR1ng0gzRznYM?authuser=0&hl=en&rclk=1
